player_id,games_played,goals,assists,minutes_played,yellow_cards,red_cards,goals_per_game,minutes_per_game
205938,33,3,4,1931,3,0,0.091,58.5
206040,36,9,3,2199,5,0,0.25,61.1
206050,22,2,7,1356,0,0,0.091,61.6
206746,22,1,0,1795,2,0,0.045,81.6
207014,31,0,0,1568,7,0,0.0,50.6
207877,34,6,3,2251,10,0,0.176,66.2
207917,19,2,2,1234,4,0,0.105,64.9
209212,4,0,0,38,0,0,0.0,9.5
210178,11,0,0,809,3,0,0.0,73.5
211474,22,3,0,1165,2,0,0.136,53.0
212723,33,5,4,2195,6,0,0.152,66.5
212862,37,0,0,3330,1,0,0.0,90.0
213260,35,2,5,2247,6,0,0.057,64.2
213670,34,0,1,2307,6,0,0.0,67.9
214532,16,0,1,649,2,0,0.0,40.6
215599,5,0,1,95,0,0,0.0,19.0
215977,32,3,10,2691,11,0,0.094,84.1
216569,29,6,3,1322,1,0,0.207,45.6
216870,29,0,0,2272,4,0,0.0,78.3
217115,13,2,1,872,2,0,0.154,67.1
217144,36,2,2,3166,10,0,0.056,87.9
217155,1,0,0,13,0,0,0.0,13.0
221025,2,0,0,7,0,0,0.0,3.5
221150,34,0,0,2585,10,0,0.0,76.0
221316,12,1,2,479,2,0,0.083,39.9
221322,32,1,2,2462,6,0,0.031,76.9
221958,11,4,1,561,1,0,0.364,51.0
222855,36,1,0,3153,6,0,0.028,87.6
223967,29,3,9,1997,9,0,0.103,68.9
223974,30,1,0,1779,5,0,0.033,59.3
223979,26,3,1,1837,6,0,0.115,70.7
225020,10,0,0,282,1,0,0.0,28.2
225122,32,8,4,1832,3,0,0.25,57.2
225452,1,0,0,27,0,0,0.0,27.0
225593,33,7,1,1988,6,0,0.212,60.2
225657,20,1,0,1301,2,0,0.05,65.0
226012,38,0,0,3420,2,0,0.0,90.0
226025,18,2,2,765,3,0,0.111,42.5
226049,3,0,0,212,0,0,0.0,70.7
226524,24,3,1,1374,4,0,0.125,57.2
226973,7,1,0,89,0,0,0.143,12.7
227039,12,0,1,321,2,0,0.0,26.8
227084,21,0,0,1437,6,0,0.0,68.4
227110,24,0,0,1965,3,0,0.0,81.9
228948,28,0,0,2358,6,0,0.0,84.2
229006,28,2,6,1988,0,0,0.071,71.0
229604,29,0,0,2610,2,0,0.0,90.0
229804,16,0,1,718,0,0,0.0,44.9
230784,25,0,0,923,1,0,0.0,36.9
232271,17,1,4,1028,2,0,0.059,60.5
232320,28,0,1,1891,5,0,0.0,67.5
232454,26,12,3,2092,6,0,0.462,80.5
234029,33,7,2,1746,5,0,0.212,52.9
234523,25,1,1,940,2,0,0.04,37.6
234781,8,0,0,112,0,0,0.0,14.0
234803,24,1,0,1172,0,0,0.042,48.8
235931,20,0,2,1435,3,0,0.0,71.8
236490,18,0,0,1590,3,0,0.0,88.3
236953,2,0,0,8,0,0,0.0,4.0
236966,19,1,1,1295,5,0,0.053,68.2
236981,8,0,0,671,0,0,0.0,83.9
237164,16,0,0,176,1,0,0.0,11.0
237658,35,1,2,2900,8,0,0.029,82.9
237662,31,8,3,1873,2,0,0.258,60.4
238266,27,1,0,2150,6,0,0.037,79.6
238407,35,13,0,1981,4,0,0.371,56.6
238537,38,0,0,3420,2,0,0.0,90.0
238626,28,1,0,2325,7,0,0.036,83.0
238993,7,0,0,630,0,0,0.0,90.0
239647,27,5,0,1068,1,0,0.185,39.6
239743,19,1,2,1217,5,0,0.053,64.1
239802,33,1,2,2783,1,0,0.03,84.3
239962,17,1,0,1175,2,0,0.059,69.1
240306,35,9,21,3068,5,0,0.257,87.7
240414,11,0,1,980,1,0,0.0,89.1
240675,3,0,0,270,0,0,0.0,90.0
240692,25,0,2,1969,7,0,0.0,78.8
240897,26,0,1,1519,8,0,0.0,58.4
241527,35,10,2,2524,4,0,0.286,72.1
241641,38,2,4,2888,9,0,0.053,76.0
241923,35,0,1,3150,0,0,0.0,90.0
242063,2,0,0,46,0,0,0.0,23.0
242086,28,16,3,1996,2,0,0.571,71.3
242359,8,0,0,720,2,0,0.0,90.0
242606,18,2,2,1520,2,0,0.111,84.4
242631,29,4,3,2436,3,0,0.138,84.0
242632,4,0,0,57,0,0,0.0,14.2
242661,17,1,4,1110,2,0,0.059,65.3
242940,2,0,0,14,0,0,0.0,7.0
243879,24,1,0,693,2,0,0.042,28.9
244940,11,0,0,73,0,0,0.0,6.6
245056,26,1,3,1734,9,0,0.038,66.7
245537,26,2,2,1278,3,0,0.077,49.2
245744,20,1,0,659,2,0,0.05,33.0
246291,18,1,0,1227,5,0,0.056,68.2
